Customer_ID,TotalSpending,Recency,Frequency
12526,1316.66,0,71
12527,735.51,81,32
12528,1933.48,9,92
12529,316.48,528,21
12530,3759.26,59,158
12531,1933.2,14,127
12532,349.83000000000004,30,16
12533,1367.89,627,72
12534,1089.18,130,63
12535,716.35,91,34
12536,12601.830000000002,43,261
12537,732.94,408,43
12538,640.45,29,34
12539,11214.75,22,504
12540,22254.49,19,771
12541,981.18,29,52
12542,481.88,484,39
12543,980.25,448,43
12544,372.7,36,19
12545,1000.39,75,50
12546,1161.5,46,69
12547,383.58,197,21
12548,95.19999999999999,166,5
12549,1575.68,575,49
12550,964.83,79,57
12551,168.0,357,10
12552,437.82,38,20
12553,4608.75,8,238
12554,468.5,448,26
12555,129.23,682,1
12556,599.56,50,119
12557,18096.14,16,53
12558,269.96,7,11
12559,561.71,310,21
12560,2134.01,5,105
12561,238.85,302,16
12562,4966.92,8,207
12563,249.24,408,13
12564,456.9,261,21
12565,145.92,288,9
12566,351.65,86,19
12567,11767.48,22,556
12568,70.0,644,5
12569,4124.69,2,188
12570,77.52,682,1
12571,519.61,39,34
12572,1020.42,8,60
12573,717.41,227,119
12574,218.45,315,11
12575,622.8199999999999,457,38
12576,2142.72,35,142
12577,1617.1,35,298
12578,4642.45,21,172
12579,440.42,78,29
12580,1052.9,246,58
12581,197.71,39,15
12582,1980.4,238,103
12583,13591.58,2,446
12584,2338.15,3,96
12585,2040.1,234,87
12586,2062.67,17,94
12587,144.0,7,4
12588,958.78,39,46
12589,4695.66,28,180
12590,9864.26,211,68
12591,1338.95,317,68
12592,2582.66,92,81
12593,418.09999999999997,108,21
12594,5090.110000000001,37,199
12595,299.02,504,19
12596,618.27,51,27
12597,3811.22,19,206
12598,4534.09,9,206
12599,2296.72,29,133
12600,4967.42,28,130
12601,681.26,189,34
12602,153.12,58,12
12603,739.1999999999999,21,3
12604,254.18,79,16
12605,1232.95,376,76
12606,21.0,682,1
12607,1579.51,60,101
12608,415.79,404,16
12609,3435.86,78,175
12610,2099.54,22,106
12611,1193.32,52,65
12612,704.0400000000001,74,19
12613,6817.37,57,326
12614,315.6,277,20
12615,5740.98,2,270
12616,1131.1,95,54
12617,352.98,29,41
12618,177.31,21,11
12619,3781.38,16,100
12620,1339.41,14,92
12621,24311.2,1,756
12622,180.1,232,11
12623,3747.84,276,174
12624,641.13,106,38
12625,5164.88,211,183
12626,6620.48,23,294
12627,4478.53,10,230
12628,786.46,4,41
12629,1558.22,385,45
12630,1270.88,9,64
12631,3481.57,57,183
12632,804.88,520,35
12633,5678.16,58,306
12634,490.0,535,20
12635,2930.41,89,179
12636,141.0,738,1
12637,8283.81,67,614
12638,921.49,33,48
12639,1312.37,238,64
12640,1174.58,23,53
12641,185.9,115,10
12642,1013.26,25,47
12643,8304.82,128,51
12644,1918.49,129,111
12645,3539.3,33,160
12646,1346.97,4,45
12647,16955.55,22,520
12648,1112.0,154,65
12649,2294.65,107,118
12650,314.44,3,20
12651,377.75,334,30
12652,1017.03,331,51
12653,4160.83,148,86
12654,601.98,10,38
12655,261.35,423,16
12656,6407.83,17,247
12657,1643.18,11,47
12658,686.05,18,36
12659,91.68,29,5
12660,245.1,11,13
12661,162.0,436,11
12662,6726.54,0,391
12663,239.4,624,10
12664,6070.04,8,45
12665,313.6,324,17
12666,1248.42,394,31
12667,620.13,58,33
12668,11383.03,11,536
12669,2744.0299999999997,150,101
12670,3760.29,10,115
12671,2622.481,606,45
12672,437.05,329,22
12673,1230.02,5,74
12674,1970.6,38,83
12675,957.25,553,112
12676,2843.09,24,107
12677,395.1,555,21
12678,34281.18,42,376
12679,1113.02,58,48
12680,880.81,0,53
12681,29834.76,14,1424
12682,22950.22,3,989
12683,11633.7,4,487
12684,2283.63,7,105
12685,2863.08,28,157
12686,89.14,371,7
12687,2138.91,480,126
12688,4873.8099999999995,113,171
12689,1247.61,25,72
12690,389.01,205,16
12691,1170.4,28,39
12692,110.95,637,13
12693,1703.02,127,79
12694,1843.35,70,83
12695,1407.1200000000001,7,59
12696,851.91,434,49
12697,957.59,28,41
12698,339.75,590,16
12699,638.11,417,41
12700,4939.99,7,268
12701,2446.41,79,147
12702,219.0,19,12
12703,1006.53,71,74
12704,2340.84,7,88
12705,11762.1,15,599
12707,603.42,291,33
12708,5117.66,29,296
12709,30291.76,15,490
12710,1149.02,96,77
12711,1339.05,611,60
12712,6723.03,28,256
12713,848.55,0,38
12714,14093.71,9,696
12715,343.36,106,20
12716,1053.49,3,69
12717,1308.91,151,71
12718,238.25,71,19
12719,644.95,5,39
12720,7787.28,2,479
12721,4013.08,31,239
12722,997.63,85,53
12723,725.07,3,69
12724,2317.52,5,129
12725,2266.76,371,106
12726,4014.6,28,179
12727,5679.53,10,203
12728,1070.17,71,61
12729,453.01,113,26
12730,829.25,521,47
12731,25775.71,23,393
12732,236.26000000000002,179,12
12733,2424.87,234,157
12734,639.65,352,19
12735,779.5699999999999,315,43
12736,234.0,332,4
12737,3710.5,498,2
12738,155.35,372,11
12739,2726.73,78,89
12740,427.6,63,27
12741,406.07,529,16
12742,1201.52,625,67
12743,540.13,134,131
12744,25317.06,51,339
12745,925.41,486,23
12746,254.55,540,17
12747,8898.48,2,249
12748,53539.64,0,6587
12749,6897.36,3,338
12750,275.88,128,15
12751,268.27,444,62
12752,4366.78,81,53
12753,21429.39,22,197
12754,3010.74,235,63
12755,5236.259999999999,280,63
12756,112.07999999999998,86,4
12757,7834.650000000001,15,364
12758,9903.24,116,313
12759,5020.74,52,302
12760,347.8,455,21
12761,782.95,457,27
12762,1898.52,7,69
12763,494.08,138,18
12764,1693.88,316,45
12765,1404.58,472,68
12766,8918.99,3,402
12767,949.82,375,43
12768,168.69000000000003,450,10
12769,1143.6,238,32
12770,3246.45,210,28
12771,282.3,485,15
12772,892.47,59,55
12773,124.25,564,6
12774,98.7,535,6
12775,1686.12,17,81
12776,55.5,667,4
12777,519.45,457,26
12778,1775.68,19,114
12779,6474.11,37,269
12780,337.4,598,20
12781,826.74,63,25
12782,4618.24,4,227
12783,2225.91,2,84
12784,1763.15,9,129
12785,1100.4,364,56
12786,728.5,609,18
12787,862.18,9,44
12788,444.9,463,26
12789,273.35,65,8
12790,591.85,192,37
12791,863.51,373,28
12792,827.01,256,47
12793,885.53,334,44
12794,860.41,53,45
12795,430.48,18,14
12796,381.0,628,7
12797,552.08,365,30
12798,8510.93,10,33
12799,219.35,529,15
12800,584.25,470,34
12801,1071.82,500,50
12802,2416.42,186,138
12803,1092.81,393,55
12804,325.37,465,66
12805,1434.95,381,58
12806,2878.96,435,67
12807,330.35,383,16
12808,776.7,36,47
12809,1755.94,177,81
12810,534.99,534,32
12811,1033.9,260,56
12812,229.64000000000001,44,15
12813,1687.8,501,45
12814,125.92,101,2
12815,1063.46,147,47
12816,572.2,95,29
12817,690.98,281,25
12818,1542.08,261,14
12819,540.52,458,19
12820,2689.52,3,160
12821,220.8,214,13
12822,948.88,70,46
12823,6501.5,74,18
12824,397.12,59,25
12825,518.63,521,24
12826,2800.75,2,157
12827,430.15000000000003,5,25
12828,1018.71,2,56
12829,385.3,336,19
12830,6814.64,37,38
12831,451.11,262,22
12832,383.03,32,27
12833,417.38,145,24
12834,312.38,282,18
12835,5996.83,427,615
12836,6559.7300000000005,59,411
12837,662.66,173,88
12838,2975.91,33,356
12839,9669.12,2,554
12840,4041.97,143,176
12841,6958.2,4,644
12842,1917.99,70,48
12843,6583.36,65,219
12844,648.6,29,103
12845,354.09,267,27
12846,15.58,682,1
12847,1609.0,22,119
12848,208.0,675,16
12849,3042.47,31,144
12850,330.0,445,2
12851,280.76,96,77
12852,311.55,294,17
12853,3907.5,134,148
12854,2970.9700000000003,78,261
12855,612.84,372,67
12856,2170.78,7,311
12857,3688.0,210,121
12858,147.27,383,37
12859,575.1,458,21
12860,54.22,693,16
12861,68.25,619,4
12862,984.62,425,131
12863,2792.5499999999997,52,48
12864,299.57,138,7
12865,3323.47,26,195
12866,1227.35,283,63
12867,7829.26,26,1050
12868,2043.76,185,134
12869,337.66999999999996,681,37
12870,1676.95,375,93
12871,744.02,84,18
12872,3283.96,326,394
12873,2027.3,282,35
12874,948.42,385,48
12875,1356.99,143,8
12876,4081.79,57,170
12877,2942.14,3,274
12878,854.99,236,47
12879,573.22,44,10
12880,640.13,381,36
12881,298.0,275,7
12882,1463.04,9,13
12883,703.47,24,42
12884,309.05,88,7
12885,1175.22,63,71
12886,1378.4,67,82
12887,222.4,383,13
12888,354.12,214,5
12889,385.46000000000004,381,25
12890,706.02,24,135
12891,840.5,185,11
12892,263.38,396,18
12893,176.55,30,31
12894,157.35,575,21
12895,372.8,42,22
12897,514.25,204,14
12898,296.21000000000004,463,27
12899,366.4,413,17
12900,340.33,422,13
12901,17654.54,8,116
12902,138.68,264,10
12903,833.53,428,41
12904,496.06,18,71
12905,1018.42,576,54
12906,2919.81,11,63
12907,508.91,395,25
12908,1776.0,176,5
12909,3103.19,39,158
12910,5796.52,23,137
12911,1651.72,551,236
12912,1662.3,2,24
12913,6283.24,4,92
12914,223.98,400,9
12915,975.1,148,60
12916,4479.73,138,172
12917,4359.2,128,50
12918,10953.5,626,1
12919,1335.19,8,50
12920,486.64,17,59
12921,35233.24,9,1499
12922,405.38,161,28
12923,770.42,64,60
12924,2469.4,88,74
12925,729.3299999999999,4,50
12926,1523.97,411,262
12927,197.31,394,11
12928,4304.89,35,179
12929,117.85,311,8
12930,415.8,78,25
12931,92347.34,21,218
12932,1698.56,539,95
12933,1636.6299999999999,24,289
12934,181.65,736,2
12935,4243.86,2,254
12936,1063.9,17,62
12937,3097.61,15,217
12938,114.14,25,9
12939,25264.8,64,86
12940,899.69,54,96
12941,377.49,724,27
12942,675.6,131,70
12943,496.5,558,25
12944,604.51,35,30
12945,900.11,288,51
12946,324.45,436,20
12947,1603.99,143,97
12948,2317.43,16,125
12949,15526.7,30,715
12950,1843.0,2,23
12951,3213.7200000000003,8,194
12952,1387.79,5,79
12953,828.8100000000001,9,48
12954,162.45,638,10
12955,4757.16,1,180
12956,521.89,306,42
12957,8706.97,9,490
12958,467.34,400,49
12959,150.95,484,8
12960,1322.07,413,70
12961,211.99,379,40
12962,266.39,7,16
12963,3235.79,8,174
12964,132.24,437,26
12965,769.8100000000001,89,108
12966,160.18,9,10
12967,2938.52,358,65
12968,135.95,112,5
12969,122.45,602,5
12970,1453.6,7,345
12971,15704.6,3,407
12972,1161.2,413,77
12973,385.55,413,6
12974,408.95,197,32
12975,2100.09,436,112
12976,3156.38,211,154
12977,513.88,156,58
12978,2502.82,385,163
12979,517.7,729,56
12980,16245.78,157,52
12981,372.21999999999997,29,20
12982,2744.81,242,178
12983,490.08000000000004,598,30
12984,97.5,18,4
12985,1239.38,0,76
12986,2729.84,428,102
12987,1312.21,73,66
12988,505.82,292,83
12989,13551.75,3,97
12990,955.5,31,27
12991,764.82,23,45
12992,93.35000000000001,725,6
12993,1259.6299999999999,23,76
12994,974.4200000000001,4,61
12995,211.32,85,3
12996,355.5,375,22
12997,2110.91,22,107
12998,920.08,492,58
12999,455.88,196,28
13000,1032.5,106,62
13001,24042.65,4,1015
13002,414.13,318,23
13003,149.05,105,6
13004,11650.85,11,815
13005,999.68,173,56
13006,81.57,56,4
13007,175.25,579,11
13008,612.13,323,35
13009,234.0,672,4
13010,330.12,374,12
13011,50.550000000000004,372,3
13012,2957.83,9,153
13013,11097.43,1,487
13014,5381.08,10,225
13015,6579.78,53,348
13016,789.89,73,47
13017,204.0,7,1
13018,9763.16,16,603
13019,1229.95,379,55
13020,618.96,562,39
13021,4887.24,4,257
13022,65.3,429,5
13023,1449.03,64,76
13024,555.87,470,31
13025,323.39,731,13
13026,1733.08,1,82
13027,17239.2,113,85
13028,661.3199999999999,22,45
13029,1927.3,30,17
13030,752.4399999999999,11,92
13031,3292.84,407,407
13032,2815.96,52,207
13033,220.55,357,13
13034,756.82,54,44
13035,1364.2,73,42
13036,307.1,684,6
13037,3914.9500000000003,138,232
13038,908.46,80,28
13039,1010.73,584,55
13040,676.99,8,43
13041,799.13,450,35
13042,1488.59,598,184
13043,516.42,273,13
13044,4848.05,291,416
13045,808.92,99,45
13046,949.25,30,56
13047,8428.53,31,381
13048,4049.13,14,265
13049,1408.24,64,26
13050,11986.52,14,984
13051,155.8,578,4
13052,3119.33,212,248
13053,127.65,621,17
13055,2321.11,78,154
13056,209.48,551,19
13057,709.59,530,40
13058,271.40000000000003,24,8
13059,2291.77,249,198
13060,307.53,253,15
13061,248.61,72,10
13062,346.98,191,11
13063,188.4,480,12
13064,1666.8400000000001,12,93
13065,1055.05,373,62
13066,470.8,24,48
13067,508.51,82,32
13068,344.0,10,2
13069,9284.45,0,1038
13070,751.7,192,33
13071,129.22,612,12
13072,177.15,266,7
13073,418.08,411,27
13074,1378.74,511,29
13075,919.61,129,22
13076,135.4,457,9
13077,2740.65,1,330
13078,29018.06,3,791
13079,419.18,4,17
13080,280.73,179,19
13081,56838.37,11,2284
13082,7335.75,126,129
13083,395.43,4,22
13084,122.39999999999999,491,2
13085,2433.28,157,84
13086,439.33000000000004,382,47
13087,313.64,726,15
13088,236.11,417,20
13089,113416.91,2,3316
13090,13091.74,8,274
13091,2321.82,28,45
13092,2140.28,70,105
13093,54144.25,275,1037
13094,2209.44,21,29
13095,74.39999999999999,70,6
13096,419.70000000000005,394,1
13097,13324.1,32,1004
13098,28882.44,1,572
13099,207.35999999999999,99,1
13101,695.4,234,51
13102,11380.1,1,481
13103,709.64,39,33
13104,1709.1,3,30
13105,72.0,436,1
13106,603.46,133,16
13107,5253.07,44,178
13108,748.46,372,35
13109,1134.03,59,70
13110,2957.4700000000003,31,252
13111,321.88000000000005,718,12
13112,20.6,541,2
13113,18230.07,0,378
13114,234.38,730,16
13115,5494.7,11,314
13116,501.14,138,30
13117,2255.66,21,162
13118,2415.41,19,148
13119,134.9,668,11
13120,30.599999999999998,238,1
13121,283.73,269,50
13122,922.39,94,55
13123,506.75,472,45
13124,4641.66,89,283
13125,148.62,523,20
13126,3774.81,4,238
13127,259.17,77,15
13128,263.5,631,1
13129,233.25,452,11
13130,64.0,94,2
13131,3313.77,23,149
13132,77.3,261,3
13133,200.45000000000002,273,12
13134,2475.23,85,121
13135,3371.45,196,18
13136,6274.56,56,315
13137,7586.94,10,1394
13138,1274.01,22,85
13139,8202.98,16,265
13140,1054.92,108,105
13141,7656.08,84,424
13142,307.09,19,23
13143,405.1,584,23
13144,135.35,332,6
13145,1128.52,39,9
13146,228.91,26,17
13147,712.8000000000001,10,4
13148,8497.82,29,763
13149,1676.06,14,86
13150,449.96999999999997,484,8
13151,2465.21,295,158
13152,2146.38,417,135
13153,486.22,5,15
13154,1624.84,399,93
13155,1370.48,33,112
13156,1586.54,385,104
13157,5687.36,49,251
13158,1508.18,94,100
13159,1429.35,8,120
13160,91.8,22,4
13161,472.13,313,33
13162,9275.49,122,238
13163,17.65,610,2
13164,372.2,569,10
13165,1451.16,46,49
13166,875.93,283,68
13167,1125.15,18,81
13168,1840.73,36,173
13169,840.08,63,18
13170,108.81,26,30
13171,468.41,21,46
13172,69.6,400,1
13173,2399.82,4,216
13174,7995.36,16,938
13175,831.45,582,46
13176,481.49,46,67
13177,512.2,64,30
13178,14059.19,26,687
13179,572.3100000000001,618,34
13180,86.10000000000001,607,4
13181,359.69,381,19
13182,121.18,45,11
13183,7036.18,7,156
13184,1668.95,14,179
13185,71.4,267,1
13186,1575.89,39,79
13187,341.36,337,56
13188,114.60000000000001,11,2
13189,260.68,18,29
13190,570.66,544,17
13191,164.69,658,59
13192,2558.58,95,162
13193,112.08,61,25
13194,472.78,135,10
13195,136.73,414,46
13196,3068.84,11,188
13197,373.01000000000005,609,19
13198,4974.2300000000005,10,314
13199,15964.210000000001,3,203
13200,870.09,19,46
13201,1233.06,502,86
13202,1580.3,394,69
13203,2648.25,9,169
13204,966.6600000000001,731,57
13205,2803.2,443,1
13206,8308.19,400,566
13207,535.86,15,13
13208,1976.3,58,252
13209,8509.51,30,366
13210,353.48,93,22
13211,2618.77,10,201
13212,786.83,19,141
13213,3851.52,56,204
13214,3264.23,417,229
13215,81.6,402,1
13216,333.74,267,5
13217,666.48,122,5
13218,62.63999999999999,127,5
13219,76.23,618,11
13220,1336.0900000000001,78,53
13221,847.41,240,66
13222,88.5,577,1
13223,969.1200000000001,200,13
13224,2155.95,60,108
13225,16260.07,3,125
13226,312.46,273,28
13227,257.7,201,9
13228,358.0,81,2
13229,160.95,225,10
13230,6120.01,4,1251
13232,1328.35,12,202
13233,1176.46,74,76
13234,346.5,672,61
13235,1031.07,212,58
13236,744.85,24,36
13237,643.0,387,24
13238,1006.63,17,47
13239,1594.69,261,94
13240,1475.79,96,201
13241,112.53,411,40
13242,699.4,112,35
13243,1220.38,203,205
13244,121.74000000000001,92,27
13245,989.22,50,45
13246,3351.75,18,371
13247,501.12,17,25
13248,465.68,124,26
13249,1608.93,92,35
13250,253.09,460,19
13251,252.68,402,25
13252,399.3,394,19
13253,2951.11,156,75
13254,51.410000000000004,376,4
13255,678.76,9,26
13256,0.0,14,1
13257,149.75,436,7
13258,1009.43,11,44
13259,1402.54,61,313
13260,557.62,61,8
13261,944.1,268,9
13262,573.45,263,50
13263,8676.2,1,1905
13264,722.5600000000001,442,38
13265,2092.66,53,90
13266,6135.04,11,307
13267,9429.81,2,411
13268,3174.75,17,433
13269,8537.32,1,486
13270,590.0,366,1
13271,211.49,37,87
13272,276.56,31,15
13273,138.98,113,16
13274,360.85,409,19
13275,238.86,383,48
13276,1891.91,63,239
13277,523.3,15,23
13278,1435.85,40,108
13279,137.75,78,9
13280,2293.33,122,205
13281,350.85,439,22
13282,1313.19,18,51
13283,373.36,59,20
13284,201.19,330,13
13285,3364.59,23,231
13286,734.91,600,49
13287,781.59,603,53
13288,927.61,443,10
13289,307.95,723,16
13290,208.63,438,1
13291,3270.79,155,318
13292,994.51,38,59
13293,1192.94,392,72
13294,1689.53,189,102
13295,1101.97,359,67
13296,792.51,137,53
13297,4368.62,7,123
13298,360.0,1,2
13299,1218.7,268,62
13300,1285.51,169,55
13301,618.09,103,81
13302,159.2,155,3
13303,61.72,400,4
13304,1217.99,351,78
13305,3616.41,4,200
13306,53.65,430,4
13307,273.34,120,15
13308,1670.3700000000001,22,71
13309,1706.3700000000001,7,130
13310,1541.2,28,95
13311,598.57,4,26
13312,124.75,451,5
13313,3445.32,22,187
13314,775.94,1,62
13315,310.26,689,22
13316,12940.82,37,173
13317,6486.091,66,344
13318,640.76,1,20
13319,21323.22,5,923
13320,2211.6,78,149
13321,567.36,72,11
13322,199.48000000000002,17,25
13323,787.85,3,21
13324,10513.47,36,132
13325,675.3,81,12
13326,281.76,432,13
13327,9134.48,38,321
13328,1308.48,316,17
13329,4808.77,31,118
13330,2796.1,92,117
13331,262.4,401,12
13332,350.9,14,21
13333,1015.74,411,55
13334,6201.8,82,474
13336,795.12,77,51
13337,1575.26,546,87
13338,2445.62,157,128
13339,860.12,200,54
13340,22100.56,45,215
13341,775.85,260,42
13343,353.43,177,19
13344,2511.69,67,116
13345,389.5,287,20
13346,299.4,462,6
13347,341.36,70,8
13348,233.76,64,14
13349,247.32,10,16
13350,979.12,16,40
13351,373.94,66,16
13352,397.97999999999996,60,24
13354,743.53,71,51
13355,674.7,122,32
13356,768.24,80,42
13357,3805.5099999999998,257,394
13358,439.03,268,29
13359,1043.31,63,56
13360,1553.65,431,66
13361,1450.5,472,34
13362,5394.07,9,298
13363,1723.86,17,102
13364,134.95999999999998,71,10
13365,2225.37,33,128
13366,56.160000000000004,50,1
13367,510.20000000000005,431,20
13368,1121.5,256,52
13369,308.28000000000003,365,14
13370,754.87,371,39
13371,2297.66,505,92
13372,378.64,89,23
13373,7587.1900000000005,60,358
13374,422.8,414,17
13375,1792.23,88,71
13376,1019.76,99,53
13377,1552.88,396,78
13379,572.56,26,97
13380,62.4,432,3
13381,8224.37,31,356
13382,1387.58,280,86
13383,305.28000000000003,543,1
13384,6680.83,30,264
13385,534.57,329,35
13386,835.46,414,31
13387,186.94,417,71
13388,1185.65,131,69
13389,797.96,11,51
13390,544.08,74,13
13391,59.8,203,1
13392,91.14,677,8
13393,1131.45,583,69
13394,6621.7,1,409
13395,1180.23,185,81
13396,1360.99,29,43
13397,3191.87,72,89
13398,670.34,192,39
13399,275.4,464,15
13400,310.83,582,23
13402,1226.8500000000001,127,79
13403,229.5,17,9
13404,252.49,1,11
13405,1213.811,74,43
13406,568.92,427,9
13407,2244.7,578,85
13408,50174.782,1,826
13410,2201.96,24,50
13411,213.55,107,18
13412,487.34999999999997,620,34
13413,429.44,639,43
13414,2494.14,133,55
13415,784.17,472,101
13416,940.8000000000001,43,26
13417,1669.49,4,77
13418,11559.66,11,537
13419,221.06,63,16
13420,159.85,149,8
13421,4058.75,40,265
13422,2626.3,64,127
13423,217.03,428,12
13424,572.77,449,40
13425,3390.4300000000003,108,177
13426,8167.38,0,343
13427,1006.53,19,52
13428,478.54,10,138
13429,1006.8,10,67
13430,679.45,18,49
13431,3316.24,67,129
13432,439.1,571,111
13433,658.3199999999999,501,24
13434,1666.8600000000001,74,35
13435,4447.33,5,149
13436,196.89,1,12
13437,3408.06,14,167
13438,46.5,547,1
13439,986.61,255,167
13440,1295.25,423,59
13441,720.9,91,38
13442,419.87,667,38
13443,1273.16,448,200
13444,619.08,374,57
13445,241.89999999999998,626,7
13446,3881.89,430,192
13447,1129.14,23,59
13448,8745.93,16,533
13449,291.88,23,19
13450,4120.04,26,147
13451,7090.06,26,1022
13452,729.8,259,3
13453,781.6899999999999,165,40
13454,219.87,641,23
13455,2212.9900000000002,24,114
13456,1766.72,17,63
13457,148.22,688,9
13458,11959.27,7,485
13459,1160.4099999999999,624,73
13460,183.44,29,17
13461,4160.0,38,62
13462,1153.85,252,71
13464,3097.64,58,151
13465,931.12,446,34
13466,1013.35,184,55
13467,1071.91,10,98
13468,12793.28,1,693
13469,82.4,653,6
13470,165.0,99,10
13471,2501.84,1,254
13472,592.24,463,28
13473,2657.7599999999998,60,70
13474,646.59,236,126
13475,1431.78,191,86
13476,2061.4700000000003,178,106
13477,2819.17,37,157
13478,2215.78,469,125
13479,851.37,200,53
13480,627.82,416,41
13481,3830.84,45,224
13482,336.09,232,20
13483,140.34,65,10
13484,790.72,241,39
13485,3019.2200000000003,233,158
13486,1122.41,78,69
13487,846.87,57,49
13488,14205.96,17,679
13489,449.52,105,14
13490,154.25,654,8
13491,4467.66,51,261
13492,1269.84,136,50
13493,618.63,275,8
13494,316.26000000000005,311,18
13495,4863.31,7,133
13496,653.33,10,35
13497,1166.83,282,58
13498,327.38,730,17
13499,1159.11,17,42
13500,1466.3,23,85
13501,2885.11,288,114
13502,780.5,16,33
13503,1859.24,71,189
13504,295.93,64,22
13505,4393.63,72,215
13506,1338.08,316,81
13507,2479.16,3,162
13508,287.05,243,28
13509,1114.72,8,49
13510,4558.29,1,289
13511,282.76,676,5
13512,713.39,260,39
13513,824.59,126,40
13514,815.9000000000001,73,21
13515,1265.82,72,76
13516,1685.26,21,61
13517,2128.42,59,141
13518,627.16,85,36
13519,343.21,78,19
13520,6606.0,58,199
13521,1071.73,1,418
13522,125.80000000000001,30,5
13523,4534.57,33,201
13524,680.1800000000001,40,27
13525,628.78,14,6
13526,1182.0,738,44
13527,4541.29,33,443
13529,307.76,78,15
13530,402.97999999999996,634,18
13531,1433.07,205,75
13532,210.31,33,66
13533,269.09,182,75
